type,authors,publication_year,data_collection_period,species,old_region,region,specific_location,n,sample_type,chemical,mean_concentration,concentration_units,mean_concentration_standardized,concentration_units_standardized,tissue,notes,doi_or_link,sex,fa_class
contaminant,Kelly et al.,2011b,2007,Sockeye,British Columbia,BC/WC,Fraser River,6,Composite,Hg,0.02,mg/kg ww,0.02,mg/kg ww,Fillet,NA,10.1002/etc.410,NA,NA
contaminant,Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,4,Composite,Hg,0.02,mg/kg ww,0.02,mg/kg ww,Fillet,NA,10.1002/etc.410,NA,NA
contaminant,Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,10,Composite,Hg,0.02,mg/kg ww,0.02,mg/kg ww,Fillet,NA,10.1002/etc.410,NA,NA
contaminant,Kelly et al.,2011b,2007,Sockeye,British Columbia,BC/WC,Fraser River,8,Composite,PCBs,7.216,ng/g ww,0.007216,mg/kg ww,Fillet,139 Congeners,10.1002/etc.410,NA,NA
contaminant,Kelly et al.,2011b,2007,Sockeye,British Columbia,BC/WC,Fraser River,5,Composite,PCBs,7.803,ng/g ww,0.007803,mg/kg ww,Fillet,139 Congeners,10.1002/etc.410,NA,NA
contaminant,Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,7,Composite,PCBs,8.642,ng/g ww,0.008642,mg/kg ww,Fillet,139 Congeners,10.1002/etc.410,NA,NA
contaminant,Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,2,Composite,PCBs,9.913,ng/g ww,0.009913,mg/kg ww,Fillet,139 Congeners,10.1002/etc.410,NA,NA
contaminant,Kelly et al.,2011,2003,Chinook,British Columbia,BC/WC,WCVI Barkley Sound,10,Individual,DDTs,13.02,ng/g ww,0.01302,mg/kg ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1002/etc.662,NA,NA
contaminant,Kelly et al.,2011,2003,Chinook,British Columbia,BC/WC,WCVI Troll,11,Individual,DDTs,9.8,ng/g ww,0.0098,mg/kg ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1002/etc.662,NA,NA
contaminant,Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,7,Composite,DDTs,7.76,ng/g ww,0.00776,mg/kg ww,Fillet,"Lower Fraser River, Thompson River population; back calculated concentration from ng/g lipid concentration using % lipid provided in paper; sum of p,p′-DDT, o,p′-DDT,  p,p′-DDE, o,p′-DDE, p,p′-DDD, o,p′-DDD",10.1002/etc.410,NA,NA
contaminant,Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,2,Composite,DDTs,5.64,ng/g ww,0.00564,mg/kg ww,Fillet,"Mid River Catch, Shuswap River population; back calculated concentration from ng/g lipid concentration using % lipid provided in paper; sum of p,p′-DDT, o,p′-DDT,  p,p′-DDE, o,p′-DDE, p,p′-DDD, o,p′-DDD",10.1002/etc.410,NA,NA
contaminant,Kelly et al.,2011,2003,Chum,British Columbia,BC/WC,Johnstone Strait,12,Individual,DDTs,0.75,ng/g ww,7.50E-04,mg/kg ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1002/etc.662,NA,NA
contaminant,Kelly et al.,2011,2003,Coho,British Columbia,BC/WC,Nootka Sound,10,Individual,DDTs,4.71,ng/g ww,0.00471,mg/kg ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1002/etc.662,NA,NA
contaminant,Kelly et al.,2011,2003,Coho,British Columbia,BC/WC,Prince Rupert,12,Individual,DDTs,1.97,ng/g ww,0.00197,mg/kg ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1002/etc.662,NA,NA
contaminant,Kelly et al.,2011,2003,Coho,British Columbia,BC/WC,WCVI Troll,13,Individual,DDTs,5.86,ng/g ww,0.00586,mg/kg ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1002/etc.662,NA,NA
contaminant,Kelly et al.,2011,2003,Pink,British Columbia,BC/WC,Johnstone Strait,10,Individual,DDTs,1.15,ng/g ww,0.00115,mg/kg ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1002/etc.662,NA,NA
contaminant,Kelly et al.,2011,2003,Sockeye,British Columbia,BC/WC,Johnstone Strait,11,Individual,DDTs,6.18,ng/g ww,0.00618,mg/kg ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1002/etc.662,NA,NA
contaminant,Kelly et al.,2011b,2007,Sockeye,British Columbia,BC/WC,Fraser River,5,Composite,DDTs,6.77,ng/g ww,0.00677,mg/kg ww,Fillet,"Lower Fraser River, Adams River population; back calculated concentration from ng/g lipid concentration using % lipid provided in paper; sum of p,p′-DDT, o,p′-DDT,  p,p′-DDE, o,p′-DDE, p,p′-DDD, o,p′-DDD",10.1002/etc.410,NA,NA
contaminant,Kelly et al.,2011b,2007,Sockeye,British Columbia,BC/WC,Fraser River,8,Composite,DDTs,5.7,ng/g ww,0.0057,mg/kg ww,Fillet,"Lower Fraser River, Weaver Creek population; back calculated concentration from ng/g lipid concentration using % lipid provided in paper; sum of p,p′-DDT, o,p′-DDT,  p,p′-DDE, o,p′-DDE, p,p′-DDD, o,p′-DDD",10.1002/etc.410,NA,NA
