year,species,location,mt_escape,y,time,y_10000,source
1965,Pink,SEAK,12213.000000000002,12213.000000000002,14,1.2213000000000003,"For details of collection, contact Dr. Greg Ruggerone"
1965,Pink,BCWC,40860,40860,14,4.086,"For details of collection, contact Dr. Greg Ruggerone"
1965,Chum,BeringSea,9888,9888,14,0.9888,"For details of collection, contact Dr. Greg Ruggerone"
1965,Chum,CentralAK,5520,5520,14,0.552,"For details of collection, contact Dr. Greg Ruggerone"
1965,Chum,SEAK,5556,5556,14,0.5556,"For details of collection, contact Dr. Greg Ruggerone"
1965,Chum,BCWC,10318.000000000002,10318.000000000002,14,1.0318000000000003,"For details of collection, contact Dr. Greg Ruggerone"
1965,Sockeye,BeringSea,60792,60792,14,6.0792,"For details of collection, contact Dr. Greg Ruggerone"
1965,Sockeye,CentralAK,7742.999999999999,7742.999999999999,14,0.7742999999999999,"For details of collection, contact Dr. Greg Ruggerone"
1965,Sockeye,SEAK,1662,1662,14,0.1662,"For details of collection, contact Dr. Greg Ruggerone"
1965,Sockeye,BCWC,7887,7887,14,0.7887,"For details of collection, contact Dr. Greg Ruggerone"
1966,Pink,BeringSea,4512,4512,15,0.4512,"For details of collection, contact Dr. Greg Ruggerone"
1966,Pink,CentralAK,19895,19895,15,1.9895,"For details of collection, contact Dr. Greg Ruggerone"
1966,Pink,SEAK,19000,19000,15,1.9,"For details of collection, contact Dr. Greg Ruggerone"
1966,Pink,BCWC,16145.999999999998,16145.999999999998,15,1.6145999999999998,"For details of collection, contact Dr. Greg Ruggerone"
1966,Chum,BeringSea,10944,10944,15,1.0944,"For details of collection, contact Dr. Greg Ruggerone"
1966,Chum,CentralAK,8231.999999999998,8231.999999999998,15,0.8231999999999998,"For details of collection, contact Dr. Greg Ruggerone"
1966,Chum,SEAK,6630,6630,15,0.663,"For details of collection, contact Dr. Greg Ruggerone"
1966,Chum,BCWC,23400.000000000004,23400.000000000004,15,2.3400000000000003,"For details of collection, contact Dr. Greg Ruggerone"
1966,Sockeye,BeringSea,25761.000000000004,25761.000000000004,15,2.5761000000000003,"For details of collection, contact Dr. Greg Ruggerone"
1966,Sockeye,CentralAK,9206.999999999998,9206.999999999998,15,0.9206999999999999,"For details of collection, contact Dr. Greg Ruggerone"
1966,Sockeye,SEAK,1847.9999999999998,1847.9999999999998,15,0.18479999999999996,"For details of collection, contact Dr. Greg Ruggerone"
1966,Sockeye,BCWC,14700,14700,15,1.47,"For details of collection, contact Dr. Greg Ruggerone"
1967,Pink,BeringSea,318.00000000000006,318.00000000000006,16,0.03180000000000001,"For details of collection, contact Dr. Greg Ruggerone"
1967,Pink,CentralAK,8865,8865,16,0.8865,"For details of collection, contact Dr. Greg Ruggerone"
1967,Pink,SEAK,6324.000000000001,6324.000000000001,16,0.6324000000000001,"For details of collection, contact Dr. Greg Ruggerone"
1967,Pink,BCWC,38397.99999999999,38397.99999999999,16,3.8397999999999994,"For details of collection, contact Dr. Greg Ruggerone"
1967,Chum,BeringSea,9510,9510,16,0.951,"For details of collection, contact Dr. Greg Ruggerone"
1967,Chum,CentralAK,5460,5460,16,0.546,"For details of collection, contact Dr. Greg Ruggerone"
1967,Chum,SEAK,10004.999999999998,10004.999999999998,16,1.0004999999999997,"For details of collection, contact Dr. Greg Ruggerone"
1967,Chum,BCWC,15520,15520,16,1.552,"For details of collection, contact Dr. Greg Ruggerone"
1967,Sockeye,BeringSea,19665.000000000004,19665.000000000004,16,1.9665000000000004,"For details of collection, contact Dr. Greg Ruggerone"
1967,Sockeye,CentralAK,7587.000000000001,7587.000000000001,16,0.7587,"For details of collection, contact Dr. Greg Ruggerone"
1967,Sockeye,SEAK,1716,1716,16,0.1716,"For details of collection, contact Dr. Greg Ruggerone"
1967,Sockeye,BCWC,10668.000000000002,10668.000000000002,16,1.0668000000000002,"For details of collection, contact Dr. Greg Ruggerone"
1968,Pink,BeringSea,9767.999999999998,9767.999999999998,17,0.9767999999999998,"For details of collection, contact Dr. Greg Ruggerone"
1968,Pink,CentralAK,16872,16872,17,1.6872,"For details of collection, contact Dr. Greg Ruggerone"
1968,Pink,SEAK,12450.000000000002,12450.000000000002,17,1.245,"For details of collection, contact Dr. Greg Ruggerone"
1968,Pink,BCWC,21406,21406,17,2.1406,"For details of collection, contact Dr. Greg Ruggerone"
1968,Chum,BeringSea,10097.999999999998,10097.999999999998,17,1.0097999999999998,"For details of collection, contact Dr. Greg Ruggerone"
1968,Chum,CentralAK,8279.999999999998,8279.999999999998,17,0.8279999999999998,"For details of collection, contact Dr. Greg Ruggerone"
1968,Chum,SEAK,6422.000000000001,6422.000000000001,17,0.6422000000000001,"For details of collection, contact Dr. Greg Ruggerone"
1968,Chum,BCWC,30740,30740,17,3.074,"For details of collection, contact Dr. Greg Ruggerone"
1968,Sockeye,BeringSea,12500,12500,17,1.25,"For details of collection, contact Dr. Greg Ruggerone"
1968,Sockeye,CentralAK,9569.999999999998,9569.999999999998,17,0.9569999999999999,"For details of collection, contact Dr. Greg Ruggerone"
1968,Sockeye,SEAK,2226,2226,17,0.2226,"For details of collection, contact Dr. Greg Ruggerone"
1968,Sockeye,BCWC,30601.999999999996,30601.999999999996,17,3.0601999999999996,"For details of collection, contact Dr. Greg Ruggerone"
1969,Pink,BeringSea,744.0000000000001,744.0000000000001,18,0.07440000000000001,"For details of collection, contact Dr. Greg Ruggerone"
1969,Pink,CentralAK,12972,12972,18,1.2972,"For details of collection, contact Dr. Greg Ruggerone"
1969,Pink,SEAK,12480,12480,18,1.248,"For details of collection, contact Dr. Greg Ruggerone"
1969,Pink,BCWC,30351.999999999996,30351.999999999996,18,3.0351999999999997,"For details of collection, contact Dr. Greg Ruggerone"
1969,Chum,BeringSea,9021,9021,18,0.9021,"For details of collection, contact Dr. Greg Ruggerone"
1969,Chum,CentralAK,3762,3762,18,0.3762,"For details of collection, contact Dr. Greg Ruggerone"
1969,Chum,SEAK,3753,3753,18,0.3753,"For details of collection, contact Dr. Greg Ruggerone"
1969,Chum,BCWC,17316,17316,18,1.7316,"For details of collection, contact Dr. Greg Ruggerone"
1969,Sockeye,BeringSea,33017.00000000001,33017.00000000001,18,3.3017000000000007,"For details of collection, contact Dr. Greg Ruggerone"
1969,Sockeye,CentralAK,8293.999999999998,8293.999999999998,18,0.8293999999999998,"For details of collection, contact Dr. Greg Ruggerone"
1969,Sockeye,SEAK,1577.9999999999998,1577.9999999999998,18,0.15779999999999997,"For details of collection, contact Dr. Greg Ruggerone"
1969,Sockeye,BCWC,8415,8415,18,0.8415,"For details of collection, contact Dr. Greg Ruggerone"
1970,Pink,BeringSea,2119,2119,19,0.2119,"For details of collection, contact Dr. Greg Ruggerone"
1970,Pink,CentralAK,14952,14952,19,1.4952,"For details of collection, contact Dr. Greg Ruggerone"
1970,Pink,SEAK,12921,12921,19,1.2921,"For details of collection, contact Dr. Greg Ruggerone"
1970,Pink,BCWC,14250,14250,19,1.425,"For details of collection, contact Dr. Greg Ruggerone"
1970,Chum,BeringSea,12222.000000000002,12222.000000000002,19,1.2222000000000002,"For details of collection, contact Dr. Greg Ruggerone"
1970,Chum,CentralAK,5890,5890,19,0.589,"For details of collection, contact Dr. Greg Ruggerone"
1970,Chum,SEAK,8001.000000000001,8001.000000000001,19,0.8001000000000001,"For details of collection, contact Dr. Greg Ruggerone"
1970,Chum,BCWC,28830,28830,19,2.883,"For details of collection, contact Dr. Greg Ruggerone"
1970,Sockeye,BeringSea,43896,43896,19,4.3896,"For details of collection, contact Dr. Greg Ruggerone"
1970,Sockeye,CentralAK,10545.000000000002,10545.000000000002,19,1.0545000000000002,"For details of collection, contact Dr. Greg Ruggerone"
1970,Sockeye,SEAK,2029.9999999999998,2029.9999999999998,19,0.20299999999999999,"For details of collection, contact Dr. Greg Ruggerone"
1970,Sockeye,BCWC,16697.000000000004,16697.000000000004,19,1.6697000000000004,"For details of collection, contact Dr. Greg Ruggerone"
