units,year,name,location,species,family,y,time,y_10000
metric_tons_wet,1968,Bering Sea_Pink salmon,BeringSea,Pink,salmon,9743,17,0.9743
metric_tons_wet,1968,Central AK_Pink salmon,CentralAK,Pink,salmon,16804,17,1.6804
metric_tons_wet,1968,SEAK_Pink salmon,SEAK,Pink,salmon,12424,17,1.2424
metric_tons_wet,1968,BCWC_Pink salmon,BCWC,Pink,salmon,21309,17,2.1309
metric_tons_wet,1968,Bering Sea_Chum salmon,BeringSea,Chum,salmon,10177,17,1.0177
metric_tons_wet,1968,Central AK_Chum salmon,CentralAK,Chum,salmon,8335,17,0.8335
metric_tons_wet,1968,SEAK_Chum salmon,SEAK,Chum,salmon,6210,17,0.621
metric_tons_wet,1968,BCWC_Chum salmon,BCWC,Chum,salmon,30897,17,3.0897
metric_tons_wet,1968,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,12573,17,1.2573
metric_tons_wet,1968,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,9536,17,0.9536
metric_tons_wet,1968,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,2126,17,0.2126
metric_tons_wet,1968,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,30523,17,3.0523
metric_tons_wet,1969,Bering Sea_Pink salmon,BeringSea,Pink,salmon,737,18,0.0737
metric_tons_wet,1969,Central AK_Pink salmon,CentralAK,Pink,salmon,13022,18,1.3022
metric_tons_wet,1969,SEAK_Pink salmon,SEAK,Pink,salmon,12534,18,1.2534
metric_tons_wet,1969,BCWC_Pink salmon,BCWC,Pink,salmon,30255,18,3.0255
metric_tons_wet,1969,Bering Sea_Chum salmon,BeringSea,Chum,salmon,8967,18,0.8967
metric_tons_wet,1969,Central AK_Chum salmon,CentralAK,Chum,salmon,3624,18,0.3624
metric_tons_wet,1969,SEAK_Chum salmon,SEAK,Chum,salmon,3694,18,0.3694
metric_tons_wet,1969,BCWC_Chum salmon,BCWC,Chum,salmon,17293,18,1.7293
metric_tons_wet,1969,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,32966,18,3.2966
metric_tons_wet,1969,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,8275,18,0.8275
metric_tons_wet,1969,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1685,18,0.1685
metric_tons_wet,1969,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,8518,18,0.8518
metric_tons_wet,1970,Bering Sea_Pink salmon,BeringSea,Pink,salmon,2168,19,0.2168
metric_tons_wet,1970,Central AK_Pink salmon,CentralAK,Pink,salmon,15047,19,1.5047
metric_tons_wet,1970,SEAK_Pink salmon,SEAK,Pink,salmon,13003,19,1.3003
metric_tons_wet,1970,BCWC_Pink salmon,BCWC,Pink,salmon,14187,19,1.4187
metric_tons_wet,1970,Bering Sea_Chum salmon,BeringSea,Chum,salmon,12275,19,1.2275
metric_tons_wet,1970,Central AK_Chum salmon,CentralAK,Chum,salmon,5968,19,0.5968
metric_tons_wet,1970,SEAK_Chum salmon,SEAK,Chum,salmon,8169,19,0.8169
metric_tons_wet,1970,BCWC_Chum salmon,BCWC,Chum,salmon,28746,19,2.8746
metric_tons_wet,1970,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,44001,19,4.4001
metric_tons_wet,1970,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,10585,19,1.0585
metric_tons_wet,1970,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1886,19,0.1886
metric_tons_wet,1970,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,16739,19,1.6739
metric_tons_wet,1971,Bering Sea_Pink salmon,BeringSea,Pink,salmon,150,20,0.015
metric_tons_wet,1971,Central AK_Pink salmon,CentralAK,Pink,salmon,10847,20,1.0847
metric_tons_wet,1971,SEAK_Pink salmon,SEAK,Pink,salmon,15822,20,1.5822
metric_tons_wet,1971,BCWC_Pink salmon,BCWC,Pink,salmon,9879,20,0.9879
metric_tons_wet,1971,Bering Sea_Chum salmon,BeringSea,Chum,salmon,10761,20,1.0761
metric_tons_wet,1971,Central AK_Chum salmon,CentralAK,Chum,salmon,6165,20,0.6165
metric_tons_wet,1971,SEAK_Chum salmon,SEAK,Chum,salmon,9011,20,0.9011
metric_tons_wet,1971,BCWC_Chum salmon,BCWC,Chum,salmon,13359,20,1.3359
metric_tons_wet,1971,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,20514,20,2.0514
metric_tons_wet,1971,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,10156,20,1.0156
metric_tons_wet,1971,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,2067,20,0.2067
metric_tons_wet,1971,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,62254,20,6.2254
metric_tons_wet,1972,Bering Sea_Pink salmon,BeringSea,Pink,salmon,578,21,0.0578
metric_tons_wet,1972,Central AK_Pink salmon,CentralAK,Pink,salmon,8457,21,0.8457
metric_tons_wet,1972,SEAK_Pink salmon,SEAK,Pink,salmon,11943,21,1.1943
metric_tons_wet,1972,BCWC_Pink salmon,BCWC,Pink,salmon,14020,21,1.402
metric_tons_wet,1972,Bering Sea_Chum salmon,BeringSea,Chum,salmon,11076,21,1.1076
metric_tons_wet,1972,Central AK_Chum salmon,CentralAK,Chum,salmon,7613,21,0.7613
metric_tons_wet,1972,SEAK_Chum salmon,SEAK,Chum,salmon,10143,21,1.0143
metric_tons_wet,1972,BCWC_Chum salmon,BCWC,Chum,salmon,34724,21,3.4724
metric_tons_wet,1972,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,9250,21,0.925
metric_tons_wet,1972,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,7978,21,0.7978
metric_tons_wet,1972,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1852,21,0.1852
metric_tons_wet,1972,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,15088,21,1.5088
