chemical,year,species,location,median,low75,high75,low50,high50,type,group,units
Hg,1991,Chum,BeringSea,517877.2199072744,369721.31194346695,713731.459018428,429260.85585358145,631541.9528604766,Contaminants,Species,Kg
Hg,1991,Chum,CentralAK,287772.8288183167,199945.0412959839,388010.26636470144,231690.33365763747,341491.050123496,Contaminants,Species,Kg
Hg,1991,Chum,SEAK,259167.4181084974,172268.66266032893,383861.41975194623,209905.56870860263,323917.3320364361,Contaminants,Species,Kg
Hg,1991,Coho,BCWC,131983.99612738818,88373.30114939545,185138.52689696554,106794.32556726792,163377.46584507177,Contaminants,Species,Kg
Hg,1991,Coho,BeringSea,73207.5885836092,49672.16170872837,98702.7790742532,58808.86030487801,87183.60961144067,Contaminants,Species,Kg
Hg,1991,Coho,CentralAK,157117.64509503837,108007.49029562883,216585.93103819632,125487.58276157151,188142.17651402883,Contaminants,Species,Kg
Hg,1991,Coho,SEAK,128544.91618714624,86626.06913442632,175506.76114070657,103888.92567595033,154552.23312117552,Contaminants,Species,Kg
Hg,1991,Pink,BCWC,279397.6488977851,179935.02676516413,416077.2760096071,217422.52147155374,352451.557279115,Contaminants,Species,Kg
Hg,1991,Pink,BeringSea,42457.02946816859,27744.115209131458,63155.22830086123,33387.4804944018,54112.59775062215,Contaminants,Species,Kg
Hg,1991,Pink,CentralAK,302950.87431134086,195527.06455520308,446474.6301341486,237531.41769039683,385170.35900739365,Contaminants,Species,Kg
Hg,1991,Pink,SEAK,541457.9113560257,339883.2663267225,784036.2406985675,417432.2443284739,666314.8650834314,Contaminants,Species,Kg
Hg,1991,Sockeye,BCWC,630307.942744875,438178.0814108314,840167.7358327485,528494.356643642,759630.4211390795,Contaminants,Species,Kg
Hg,1991,Sockeye,BeringSea,1045868.7615709528,744824.0339136199,1412823.3321725752,874350.174236463,1266623.0620470808,Contaminants,Species,Kg
Hg,1991,Sockeye,CentralAK,417808.13797560753,290855.22469714633,561376.8819880863,344765.2424641825,493952.3047644841,Contaminants,Species,Kg
Hg,1991,Sockeye,SEAK,58583.540722949154,42125.90827248086,76771.67151545576,48411.803857886895,68718.92452041435,Contaminants,Species,Kg
Hg,1992,Chinook,BCWC,531339.31069162325,376346.4809984259,722307.3449978828,443008.59157727845,641764.5057382223,Contaminants,Species,Kg
Hg,1992,Chinook,BeringSea,199741.81486120794,136048.6268151304,273871.9474744663,162299.07906660414,240867.52663261263,Contaminants,Species,Kg
Hg,1992,Chinook,CentralAK,45220.63234693324,32164.014392837344,61118.79699715732,37621.973141693474,53967.35940471438,Contaminants,Species,Kg
Hg,1992,Chinook,SEAK,40788.47783338835,28485.90450379604,56553.864431641625,33428.54273980287,48941.279863773074,Contaminants,Species,Kg
Hg,1992,Chum,BCWC,1118287.2713722421,770007.4740681591,1519056.8886333862,910315.297314184,1351953.437719042,Contaminants,Species,Kg
Hg,1992,Chum,BeringSea,520438.4633845142,371808.0561880491,717369.5263165693,433012.6114794286,636797.8158051767,Contaminants,Species,Kg
Hg,1992,Chum,CentralAK,285385.19951823284,198158.05480679957,385050.0645076166,229197.14890702133,338579.64248070144,Contaminants,Species,Kg
Hg,1992,Chum,SEAK,281171.579489414,185681.7959022775,412801.3538164621,226775.02639642378,348231.3429042129,Contaminants,Species,Kg
Hg,1992,Coho,BCWC,134810.4669574423,89734.94582244451,189729.9944591202,108745.21510786435,165648.95136233442,Contaminants,Species,Kg
Hg,1992,Coho,BeringSea,70894.2920458742,48832.37143662383,96269.40746570291,58569.63529345482,85245.14888289533,Contaminants,Species,Kg
Hg,1992,Coho,CentralAK,155825.93225205567,106093.30439567262,212003.61185856652,124036.4850091188,185498.71335453438,Contaminants,Species,Kg
Hg,1992,Coho,SEAK,132577.66584810082,89425.04878565914,181107.41143112897,107284.08161616861,159515.3623566652,Contaminants,Species,Kg
Hg,1992,Pink,BCWC,283476.1421652364,181372.04498491803,422063.3135542817,223029.0408792457,357515.917909796,Contaminants,Species,Kg
Hg,1992,Pink,BeringSea,42886.70167881273,27933.533450194198,63347.979764056334,33754.44987816471,54185.070132447196,Contaminants,Species,Kg
Hg,1992,Pink,CentralAK,309657.4483480415,198579.25241248764,454993.28493484925,242664.32200893929,390685.3904784161,Contaminants,Species,Kg
Hg,1992,Pink,SEAK,555772.7159859895,351773.6813662992,807582.1136029393,430854.71912629047,686107.6161972119,Contaminants,Species,Kg
Hg,1992,Sockeye,BCWC,636860.4388993827,446125.01771751133,847323.042416839,530683.1494880022,765954.6082323301,Contaminants,Species,Kg
Hg,1992,Sockeye,BeringSea,1036194.7451995772,736717.4396580542,1394872.567450045,864243.898920708,1253705.4691815325,Contaminants,Species,Kg
Hg,1992,Sockeye,CentralAK,425916.1875637858,297468.23602345854,572784.3056114434,351155.62902400637,502522.1970327194,Contaminants,Species,Kg
Hg,1992,Sockeye,SEAK,58087.62045725332,41733.817282587006,76108.14124904806,47675.303494929554,67957.08122868204,Contaminants,Species,Kg
Hg,1993,Chinook,BCWC,542112.4594843282,383226.4749189669,739365.4261514638,451949.15800360276,654264.9999124678,Contaminants,Species,Kg
Hg,1993,Chinook,BeringSea,205332.1247575633,142223.1740084006,280308.2709173361,166468.1223775289,246887.19906374684,Contaminants,Species,Kg
Hg,1993,Chinook,CentralAK,44839.05890964961,31876.152469089116,60606.82235092121,37347.485851270656,53640.29054865449,Contaminants,Species,Kg
Hg,1993,Chinook,SEAK,41036.23874230757,29065.847466933792,56935.29636331652,33916.38582326798,49380.477311033545,Contaminants,Species,Kg
Hg,1993,Chum,BCWC,1132660.4742860873,789630.8951399089,1550020.6366752132,924599.252392042,1368829.2295692526,Contaminants,Species,Kg
Hg,1993,Chum,BeringSea,526663.3809132355,376217.44406222214,724861.6685161958,437268.64896332513,644186.0413306201,Contaminants,Species,Kg
Hg,1993,Chum,CentralAK,284249.46102581883,197118.23011619083,383181.26192150026,228598.68585416922,336788.98013594776,Contaminants,Species,Kg
Hg,1993,Chum,SEAK,313352.8087503432,212496.13107017035,455858.10472642066,252365.89993002923,389637.04927618,Contaminants,Species,Kg
Hg,1993,Coho,BCWC,138323.85000554548,92078.40792272532,194027.51090120402,110902.53331442617,169070.4437070701,Contaminants,Species,Kg
Hg,1993,Coho,BeringSea,67828.26123823653,46122.37754660559,92816.01158334455,55961.553105692285,82260.01484745518,Contaminants,Species,Kg
Hg,1993,Coho,CentralAK,151203.73940710336,104154.26019290273,206616.358463886,121840.95972817356,181655.61085452267,Contaminants,Species,Kg
Hg,1993,Coho,SEAK,136022.83666800306,92472.48134222857,185953.12507956845,109687.31494311176,164161.32510990172,Contaminants,Species,Kg
Hg,1993,Pink,BCWC,287538.76019694516,184200.14397516215,430728.7380807569,228036.24388252967,361904.5446710505,Contaminants,Species,Kg
Hg,1993,Pink,BeringSea,42802.94770405085,27844.738502258057,63072.586881167845,33613.26843441981,54236.66075407874,Contaminants,Species,Kg
Hg,1993,Pink,CentralAK,313703.0115549197,202526.6513393639,462876.52901609644,246775.18849947784,398971.9426701218,Contaminants,Species,Kg
Hg,1993,Pink,SEAK,577292.4672462952,364056.8710429093,835546.3063708104,443563.83766846836,706403.207493758,Contaminants,Species,Kg
Hg,1993,Sockeye,BCWC,644397.6233627648,450923.24618611025,854413.0141002014,533803.653024704,773149.1244908978,Contaminants,Species,Kg
Hg,1993,Sockeye,BeringSea,1021209.9290620473,726552.201447524,1371801.8002962018,846062.4313643472,1237485.7151268506,Contaminants,Species,Kg
Hg,1993,Sockeye,CentralAK,435042.4690537789,305391.5249472123,584225.8773687339,357333.076017663,511196.5400740305,Contaminants,Species,Kg
Hg,1993,Sockeye,SEAK,57612.44856478032,41086.01577680355,74931.51174324634,47400.72815369346,67041.47303792488,Contaminants,Species,Kg
Hg,1994,Chinook,BCWC,551794.4958770331,388058.2125489142,754077.2236353541,458723.31371923,666179.9441113805,Contaminants,Species,Kg
Hg,1994,Chinook,BeringSea,209075.68752294563,145364.46935881692,284438.1090689838,170858.99590491943,250015.78618521107,Contaminants,Species,Kg
