chemical,year,species,location,median,low75,high75,low50,high50,type,group,units
PBDEs,1997,Chinook,SEAK,3189.8000277100496,1495.956946392772,6165.595761977326,2065.958742654502,4833.5917963413995,Contaminants,Species,kg
PBDEs,1997,Chum,BCWC,14044.525077922342,6094.871415496416,36768.18850596676,8666.11873890291,23782.956344919152,Contaminants,Species,kg
PBDEs,1997,Chum,BeringSea,6596.432458018548,2922.9694042712,17539.863418680226,4160.664500505991,11351.947605829819,Contaminants,Species,kg
PBDEs,1997,Chum,CentralAK,3447.415658020801,1489.0104611276752,9105.144124762604,2111.8966796095488,5761.266905366451,Contaminants,Species,kg
PBDEs,1997,Chum,SEAK,6588.829146815939,2775.571819187074,17902.521441616584,4023.6331719053055,11012.926297440046,Contaminants,Species,kg
PBDEs,1997,Coho,BCWC,2312.1355316849663,990.0589910516671,5839.985501594142,1404.5275398466988,3824.7812784409034,Contaminants,Species,kg
PBDEs,1997,Coho,BeringSea,668.7062956798596,285.191827019157,1605.0028092410562,402.7342493459442,1065.3273166591155,Contaminants,Species,kg
PBDEs,1997,Coho,CentralAK,1835.6932811810254,770.6276755927199,4635.643573528293,1112.4762625859626,3056.6643440635294,Contaminants,Species,kg
PBDEs,1997,Coho,SEAK,1922.8222336619415,781.7221357106198,4525.358177939854,1156.490136924943,3171.2211867439655,Contaminants,Species,kg
PBDEs,1997,Pink,BCWC,16207.848004484447,6694.031896493464,41403.99614179546,9537.197516687555,28054.514748382077,Contaminants,Species,kg
PBDEs,1997,Pink,BeringSea,2165.9901178676328,890.6636254136847,5716.587456362137,1256.279262459639,3717.019944120985,Contaminants,Species,kg
PBDEs,1997,Pink,CentralAK,18405.08393215637,7512.038156628513,47132.38391641295,10573.81735887226,30346.782620435733,Contaminants,Species,kg
PBDEs,1997,Pink,SEAK,34906.72342266224,13914.20173197784,89905.75988212733,20452.41358007975,58196.61736768529,Contaminants,Species,kg
PBDEs,1997,Sockeye,BCWC,12441.367189792345,6103.515172606843,27647.514996802554,8243.636087407172,19047.221018595235,Contaminants,Species,kg
PBDEs,1997,Sockeye,BeringSea,17905.589871574615,9069.950533031299,37833.913518505055,12025.736216071942,27434.620668599815,Contaminants,Species,kg
PBDEs,1997,Sockeye,CentralAK,8669.751201132778,4272.3919893295615,18920.70813568161,5761.728194681465,13349.019650573002,Contaminants,Species,kg
PBDEs,1997,Sockeye,SEAK,1022.6593024682365,498.8195235364524,2165.3022142060595,681.8385990144959,1526.9519665991943,Contaminants,Species,kg
PBDEs,1998,Chinook,BCWC,47448.74043678676,21824.89214856058,88157.82828481532,30417.586990144067,69243.14943720355,Contaminants,Species,kg
PBDEs,1998,Chinook,BeringSea,16659.178002319284,7499.212587355131,31721.575192705524,10675.10562625247,24345.787422779977,Contaminants,Species,kg
PBDEs,1998,Chinook,CentralAK,3175.929336687145,1452.4400990489942,6186.040675245604,2068.132098307437,4717.640334370206,Contaminants,Species,kg
PBDEs,1998,Chinook,SEAK,3139.672562659288,1479.2585504686244,6090.488836053291,2041.3109362974653,4698.947899436074,Contaminants,Species,kg
PBDEs,1998,Chum,BCWC,13803.380812695716,5964.689112467584,36436.40643833314,8615.280471507007,23516.790547998222,Contaminants,Species,kg
PBDEs,1998,Chum,BeringSea,6732.3685271423765,2946.4251877550437,17880.20338428432,4191.738644596899,11540.33580357716,Contaminants,Species,kg
PBDEs,1998,Chum,CentralAK,3492.8083916660617,1505.438384170638,9204.113189405389,2122.325610553923,5797.762963546108,Contaminants,Species,kg
PBDEs,1998,Chum,SEAK,7094.628608465066,2983.8574431625107,19106.674902000446,4339.627463623094,11533.669152713264,Contaminants,Species,kg
PBDEs,1998,Coho,BCWC,2432.397963783337,1048.4371246293224,6166.167743748269,1494.079205889174,4093.132951413816,Contaminants,Species,kg
PBDEs,1998,Coho,BeringSea,597.2660096274773,248.67618860745324,1439.4174187692447,359.3702461769555,967.8805876836248,Contaminants,Species,kg
PBDEs,1998,Coho,CentralAK,1781.5160986967708,761.049313067845,4443.585279091425,1076.4389879955067,2985.835020326524,Contaminants,Species,kg
PBDEs,1998,Coho,SEAK,1894.4867013822593,771.1555624813192,4525.850889592003,1140.4856255651575,3120.4175288941597,Contaminants,Species,kg
PBDEs,1998,Pink,BCWC,16510.852340461803,6766.163023902875,41811.96910123898,9678.139712927006,28526.25539115922,Contaminants,Species,kg
PBDEs,1998,Pink,BeringSea,2161.649482746291,883.4489251496136,5660.754956977236,1238.5082814079253,3660.7848499319093,Contaminants,Species,kg
PBDEs,1998,Pink,CentralAK,18871.48773314841,7583.81771521715,48239.65181566917,10702.607970334348,30894.575736382885,Contaminants,Species,kg
PBDEs,1998,Pink,SEAK,35896.0475432407,14351.34717950908,91858.2693466887,21132.710033115414,59866.49397424037,Contaminants,Species,kg
PBDEs,1998,Sockeye,BCWC,12604.908627086113,6157.567743025809,27711.893372603285,8275.448114282839,19087.38453983864,Contaminants,Species,kg
PBDEs,1998,Sockeye,BeringSea,17724.777242725402,8867.097466693782,37454.86921013564,11919.565756189448,27169.563654494934,Contaminants,Species,kg
PBDEs,1998,Sockeye,CentralAK,8849.036323282151,4367.972169254816,19192.411316334965,5854.734735265686,13553.940280597282,Contaminants,Species,kg
PBDEs,1998,Sockeye,SEAK,1007.2381063612818,494.3025456962362,2132.690291557287,674.7437574188184,1516.1525986169906,Contaminants,Species,kg
PBDEs,1999,Chinook,BCWC,48503.92190560364,22290.9497882732,89195.96802040192,30976.46461354638,70517.56854351859,Contaminants,Species,kg
PBDEs,1999,Chinook,BeringSea,16374.483574550919,7351.287674989873,31290.348103633787,10435.013896520262,23888.77231177323,Contaminants,Species,kg
PBDEs,1999,Chinook,CentralAK,3059.124108253288,1393.4463449333603,5924.888227331535,1988.379113659158,4535.303468577841,Contaminants,Species,kg
PBDEs,1999,Chinook,SEAK,3095.890029643184,1441.08966081286,5923.816586697682,2015.03414562158,4546.205569888229,Contaminants,Species,kg
PBDEs,1999,Chum,BCWC,13455.473763405022,5857.49881528765,36055.26061411372,8457.218457945128,23166.30463058814,Contaminants,Species,kg
PBDEs,1999,Chum,BeringSea,6829.754133784259,2983.964664712224,17992.094079543254,4229.058940300385,11661.04784647828,Contaminants,Species,kg
PBDEs,1999,Chum,CentralAK,3539.1647417563427,1510.9542178543993,9306.603528188443,2152.581740959795,5796.560559674752,Contaminants,Species,kg
PBDEs,1999,Chum,SEAK,7209.047403062434,3080.4492268427957,19577.738501445874,4432.270453491039,11713.087516450772,Contaminants,Species,kg
PBDEs,1999,Coho,BCWC,2610.3674433640062,1107.2994063206568,6590.580239360653,1572.3427026149498,4368.858970137571,Contaminants,Species,kg
PBDEs,1999,Coho,BeringSea,534.2717541715249,219.87679537008916,1301.4530164818054,320.9447464629133,869.3039350193844,Contaminants,Species,kg
PBDEs,1999,Coho,CentralAK,1753.8211426930668,733.4590443350443,4328.076654768175,1043.1136885921537,2944.091032922609,Contaminants,Species,kg
PBDEs,1999,Coho,SEAK,1838.7763306853171,763.2297546834747,4545.869359507594,1117.670879428244,3046.854341855306,Contaminants,Species,kg
PBDEs,1999,Pink,BCWC,16735.70997591671,6902.798423976942,42141.63379915872,9800.97878034689,28877.98163878238,Contaminants,Species,kg
PBDEs,1999,Pink,BeringSea,2171.8130632868574,868.0328950826855,5618.457413975416,1238.4283446067884,3657.9954347352586,Contaminants,Species,kg
PBDEs,1999,Pink,CentralAK,19224.04052676696,7689.531410048869,49078.85789022524,10868.400032163725,31266.81514942896,Contaminants,Species,kg
PBDEs,1999,Pink,SEAK,36823.764089076605,14721.261147834362,93673.93103419492,21611.857700862296,60929.460222530564,Contaminants,Species,kg
PBDEs,1999,Sockeye,BCWC,12744.356071986498,6214.984987397563,27805.966910742478,8373.189940115444,19254.944826266736,Contaminants,Species,kg
PBDEs,1999,Sockeye,BeringSea,17509.84559932534,8614.918660317298,37119.249539576296,11838.750274881626,26933.214635228513,Contaminants,Species,kg
PBDEs,1999,Sockeye,CentralAK,8965.132969695893,4449.45753428766,19566.054860252567,5952.1939821595,13739.716524235539,Contaminants,Species,kg
PBDEs,1999,Sockeye,SEAK,993.7123844962813,484.33666854286895,2102.8360803426226,667.2358149718948,1499.2730929958911,Contaminants,Species,kg
PBDEs,2000,Chinook,BCWC,48885.49957508761,22282.29039498117,89748.40203851479,31316.090577243995,71426.38420309933,Contaminants,Species,kg
PBDEs,2000,Chinook,BeringSea,15909.189875868768,7203.783054153521,30734.126438868334,10282.601721799096,23150.568146713907,Contaminants,Species,kg
PBDEs,2000,Chinook,CentralAK,2943.8887753366175,1352.7743475165673,5690.373877091862,1919.9863396023375,4379.346304216515,Contaminants,Species,kg
PBDEs,2000,Chinook,SEAK,3025.005313272529,1411.3064302058356,5789.733433067455,1956.9659979898702,4416.699492116737,Contaminants,Species,kg
PBDEs,2000,Chum,BCWC,13220.605757322857,5713.926313699075,35069.508471515685,8302.368441580975,22709.9697885467,Contaminants,Species,kg
PBDEs,2000,Chum,BeringSea,6902.114025492798,3009.5106060276285,18167.00766752183,4261.291418331643,11848.416153255692,Contaminants,Species,kg
PBDEs,2000,Chum,CentralAK,3562.7703586940283,1512.8627088187964,9333.313972030272,2168.656797596731,5810.924425062529,Contaminants,Species,kg
PBDEs,2000,Chum,SEAK,7080.049908156282,3003.1706203679705,19485.064058981192,4401.867146544167,11712.965708998621,Contaminants,Species,kg
PBDEs,2000,Coho,BCWC,2727.2962494165404,1170.9802444708307,6924.268450223079,1651.5488281154473,4591.699607824549,Contaminants,Species,kg
PBDEs,2000,Coho,BeringSea,486.11347454289375,201.60020919122644,1172.7268419968414,290.8318786806192,794.4097777918519,Contaminants,Species,kg
PBDEs,2000,Coho,CentralAK,1703.8156588048769,712.0991513997444,4296.828860209282,1021.5329395365138,2889.727696136259,Contaminants,Species,kg
PBDEs,2000,Coho,SEAK,1801.4095107526705,754.0952077760713,4456.2510897081365,1097.2454205946322,2972.9478782438496,Contaminants,Species,kg
PBDEs,2000,Pink,BCWC,17085.570509419857,7077.834015115624,43212.6408350355,10062.983676708176,29140.39193653826,Contaminants,Species,kg
PBDEs,2000,Pink,BeringSea,2200.654662989981,863.1227285745881,5636.591119444456,1255.198940426032,3644.631946258572,Contaminants,Species,kg
PBDEs,2000,Pink,CentralAK,19488.306081775394,7865.015176563023,49438.65348738687,11039.830392779335,31690.49112264232,Contaminants,Species,kg
PBDEs,2000,Pink,SEAK,37566.0098593171,15038.412440932247,95524.25213448507,21959.632995409098,61822.037097436674,Contaminants,Species,kg
PBDEs,2000,Sockeye,BCWC,12876.189860093898,6290.454062103265,27842.484957153247,8461.905523803991,19647.58212495502,Contaminants,Species,kg
PBDEs,2000,Sockeye,BeringSea,17368.29678821259,8454.775589234014,36924.875568438525,11716.912341444722,26724.161962709586,Contaminants,Species,kg
PBDEs,2000,Sockeye,CentralAK,9092.430478116932,4521.517726658368,19728.237152892787,6047.565953785264,13934.189064488199,Contaminants,Species,kg
PBDEs,2000,Sockeye,SEAK,981.1824529129368,479.39009165576863,2089.6482919577397,658.4288965335273,1474.7657601601736,Contaminants,Species,kg
PBDEs,2001,Chinook,BCWC,48959.422162722694,22349.327724929928,91239.06548924671,31513.857674294264,71772.24204581013,Contaminants,Species,kg
PBDEs,2001,Chinook,BeringSea,15247.846809574261,7052.785923332672,30239.131485056867,9996.797889799947,22805.538998269145,Contaminants,Species,kg
PBDEs,2001,Chinook,CentralAK,2844.143094100321,1306.6269516590867,5367.793720603495,1845.2431890337907,4187.142930711264,Contaminants,Species,kg
PBDEs,2001,Chinook,SEAK,2916.6955849401543,1356.041831594796,5576.909920871098,1884.1715672028877,4223.142791304608,Contaminants,Species,kg
PBDEs,2001,Chum,BCWC,12789.07490377573,5518.076774799701,34406.40741526342,8060.7006539731465,22200.758499789674,Contaminants,Species,kg
PBDEs,2001,Chum,BeringSea,7019.763078572895,3065.795725416073,18422.422105686805,4330.97556420306,11960.891621766741,Contaminants,Species,kg
PBDEs,2001,Chum,CentralAK,3581.4050555255235,1527.0074602697362,9387.22418131393,2162.481505796183,5885.091173476012,Contaminants,Species,kg
