species,year,location,low75,median,high75,low50,high50,.group,type,panel,fill,data,y,x,PANEL,shape,colour,size,alpha,stroke,facet
Coho,1979,NA,459.14256877850926,540.1530155911062,667.2274346390136,485.227788803745,608.3897264336626,4,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1979,NA,3352.5574797134204,3816.7102340716383,4325.855300174599,3521.9153340512867,4107.407847940103,164,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1979,NA,3288.650942118909,3843.1204241079968,4570.232311343653,3504.430016656137,4247.8935025511555,124,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1980,NA,575.0787406051011,678.8192383347953,823.7334176454301,613.6523928356482,757.1311493612156,45,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1980,NA,2661.764876554812,3155.704507871948,3930.811162168413,2839.667560546984,3530.8967300528902,85,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1980,NA,483.51541115986385,571.0727658048763,699.8348554230738,513.0322429708484,639.2646487096886,5,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1980,NA,3410.5477192183234,3870.001207165703,4375.237992519794,3585.967396326432,4173.357826094025,165,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1980,NA,3335.5692925590965,3862.6969076775404,4551.391530041766,3536.3533618157894,4267.794906293111,125,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1981,NA,589.8933335410461,691.2598122543797,840.7941746441245,626.2905016571145,766.0728747519024,46,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1981,NA,2693.7351152804317,3178.0426942495665,3938.7965779389315,2872.183547716897,3563.5914899952004,86,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1981,NA,511.8051781179625,604.489212476888,738.5105791688227,546.6915336481566,675.2397052863184,6,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1981,NA,3473.1484890703887,3938.5225174924035,4448.17411201998,3654.2197133384493,4245.212849360132,166,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1981,NA,3373.4437490720165,3888.7273523821013,4561.3141447176695,3560.539753914641,4274.946940537575,126,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1982,NA,601.9423725666279,704.3209181380535,851.6399658894658,641.199055606836,780.3397681043374,47,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1982,NA,2733.647994901941,3225.7496550726482,4004.7835005105403,2922.340496332911,3625.4269371430187,87,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1982,NA,542.318893651518,637.5776015766428,779.2776764117914,581.971972529672,711.8381122275041,7,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1982,NA,3545.622592943995,4016.047785494603,4548.136723793445,3727.732188219317,4322.307114735352,167,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1982,NA,3399.7976653020314,3910.071247588874,4547.630937050219,3583.0826074551373,4292.17820293393,127,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1983,NA,615.0152883513999,720.8584922066509,863.2682132193266,651.659481487704,795.7671238886526,48,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1983,NA,2800.221514225925,3292.008029016406,4076.1043765001264,2983.531026735577,3705.533180406438,88,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1983,NA,570.144742490152,667.1160594076321,818.2906091359687,609.9966258628567,747.5552231222181,8,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1983,NA,3622.990833222355,4090.2673450066227,4619.36295161932,3804.151627906268,4411.8762851104075,168,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1983,NA,3413.000141730979,3930.0837155653176,4561.953623156627,3591.6072104940035,4306.485442111146,128,Nutrients,e) Species nutrients,#F76F5CFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1984,NA,629.3200587259395,738.9832939610019,877.9440687899795,667.496256459726,817.9143605446036,49,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1984,NA,2861.5083531175906,3353.9925717371416,4164.378499486009,3044.5692326577578,3768.0348946652944,89,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1984,NA,596.5905094274665,697.1811975060396,853.3569867541883,638.0645255996517,781.8349581396001,9,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1984,NA,3692.664213425126,4191.801361945421,4710.14301527035,3897.211750699578,4503.869444310096,169,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1984,NA,3423.5919580039363,3933.565553708877,4575.775865592775,3595.1464460278453,4311.081226403959,129,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1985,NA,641.4047832212373,758.720987400008,898.2131956648077,683.4984160922711,836.9776913910604,50,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1985,NA,2907.754280564902,3430.723779376599,4251.04595808573,3099.4503703134824,3840.053343096694,90,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1985,NA,620.4702058513637,724.7083052823004,887.8755794385681,658.9486855858231,810.9019004533409,10,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1985,NA,3767.9201480164243,4273.683919142648,4816.115495102613,3974.2355647618406,4598.699055425106,170,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1985,NA,3418.015956868244,3935.8633403297563,4569.4000007824,3612.5967034408764,4318.787616614186,130,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1986,NA,656.8537018455405,775.6823958992438,916.3970431787372,699.4943167176737,861.2373839085003,51,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1986,NA,2959.493953961517,3506.241494356219,4294.5324852175945,3152.008039150524,3916.9230820914922,91,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
